Unnamed: 0,Reaction ID,Reaction (Long),Reaction (short),Reversible,Gene,Enzyme,Subsystem,TurnoverNumber
,R06851,"p-Benzenediol + NADPH + H+ + Oxygen = Benzene-1,2,4-triol + NADP++ H2O",C00530 + C00005 + C00080 + C00007 <=> C02814 + C00006 + C00001,False,,1.14.13.-,rn00361  rn00627,
,R06858,"1,4-Dihydroxy-2-naphthoate + Phytyl diphosphate =2-Phytyl-1,4-naphthoquinone + CO2 + Diphosphate",C03657 + C05427 <=> C13309 + C00011 + C00013,False,,2.5.1.-,rn00130,
,R06859,"2-Phytyl-1,4-naphthoquinone + S-Adenosyl-L-methionine =Phylloquinone + S-Adenosyl-L-homocysteine",C13309 + C00019 <=> C02059 + C00021,True,,2.1.1.163,rn00130,
,R06883,"Bisphenol A + NADH + H+ + Oxygen =1,2-Bis(4-hydroxyphenyl)-2-propanol + NAD+ + H2O",C13624 + C00004 + C00080 + C00007 <=> C13629 + C00003 + C00001,False,,1.14.-.-,rn00363,
,R06884,"Bisphenol A + NADH + H+ + Oxygen =2,2-Bis(4-hydroxyphenyl)-1-propanol + NAD+ + H2O",C13624 + C00004 + C00080 + C00007 <=> C13631 + C00003 + C00001,False,,1.14.13.-,rn00363,
,R06888,"2,2-Bis(4-hydroxyphenyl)-1-propanol + NADH + H+ + Oxygen =2,3-Bis(4-hydroxyphenyl)-1,2-propanediol + NAD+ + H2O",C13631 + C00004 + C00080 + C00007 <=> C13634 + C00003 + C00001,False,,1.14.-.-,rn00363,
,R06890,4-Ethylphenol + NADPH + H+ + Oxygen = 1-(4'-Hydroxyphenyl)ethanol+ NADP+ + H2O,C13637 + C00005 + C00080 + C00007 <=> C13638 + C00006 + C00001,False,,1.14.13.-,rn00363,
,R06891,1-(4'-Hydroxyphenyl)ethanol + NAD+ = 4'-Hydroxyacetophenone + NADH+ H+,C13638 + C00003 <=> C10700 + C00004 + C00080,True,,1.1.1.-,not exist,
,R06895,Coproporphyrinogen III + 2 S-Adenosyl-L-methionine =Protoporphyrinogen IX + 2 CO2 + 2 L-Methionine + 2 5'-Deoxyadenosine,C03263 + 2 C00019 <=> C01079 + 2 C00011 + 2 C00073 + 2 C05198,False,,1.3.99.22,rn00860,
,R06904,Naphthyl-2-methyl-succinic acid + Succinyl-CoA =Naphthyl-2-methyl-succinyl-CoA + Succinate,C14115 + C00091 <=> C14116 + C00042,True,,2.8.3.-,rn00626,
,R06905,Naphthyl-2-methyl-succinyl-CoA = Naphthyl-2-methylene-succinyl-CoA+ 2 H+,C14116 <=> C14117 + 2 C00080,True,,1.3.99.-,rn00626,
,R06908,Naphthyl-2-oxomethyl-succinyl-CoA + CoA = 2-Naphthoyl-CoA +Succinyl-CoA,C14119 + C00010 <=> C14120 + C00091,True,,2.3.1.-,rn00626,
,R06915,"3-Methylsalicylate + Oxygen + NADH + H+ = 2,3-Dihydroxytoluene +NAD+ + CO2 + H2O",C14088 + C00007 + C00004 + C00080 <=> C02923 + C00003 + C00011 +C00001,False,,1.14.13.1,rn00626,2.2
,R06916,1-Methylnaphthalene + Oxygen + NADH + H+ =1-Hydroxymethylnaphthalene + NAD+ + H2O,C14082 + C00007 + C00004 + C00080 <=> C14089 + C00003 + C00001,False,,1.14.13.-,rn00626,
,R06917,1-Hydroxymethylnaphthalene + NAD+ = 1-Naphthaldehyde + NADH + H+,C14089 + C00003 <=> C14090 + C00004 + C00080,True,,1.1.1.1,rn00627,0.4
,R06926,2-Methylnaphthalene + Oxygen + NADH + H+ = (2-Naphthyl)methanol +NAD+ + H2O,C14098 + C00007 + C00004 + C00080 <=> C02909 + C00003 + C00001,False,,1.14.13.-,rn00626,
,R06927,(2-Naphthyl)methanol + NAD+ = 2-Naphthaldehyde + NADH + H+,C02909 + C00003 <=> C14099 + C00004 + C00080,True,,1.1.1.1,rn00626,0.4
,R06936,4-Hydroxymethylsalicylate + Oxygen + NADH + H+ =4-Hydroxymethylcatechol + NAD+ + H2O + CO2,C14109 + C00007 + C00004 + C00080 <=> C14110 + C00003 + C00001 +C00011,False,,1.14.13.1,rn00626,
,R06939,4-Methylsalicylate + Oxygen + NADH + H+ = 4-Methylcatechol + NAD++ H2O + CO2,C14103 + C00007 + C00004 + C00080 <=> C06730 + C00003 + C00001 +C00011,False,,1.14.13.1,rn00626,6.4
,R06941,(3S)-3-Hydroxyadipyl-CoA + NAD+ = 3-Oxoadipyl-CoA + NADH + H+,C14145 + C00003 <=> C02232 + C00004 + C00080,True,,1.1.1.35,rn00930,0.004
,R06942,5-Carboxy-2-pentenoyl-CoA + H2O = (3S)-3-Hydroxyadipyl-CoA,C14144 + C00001 <=> C14145,True,NZ_AEYC01000076.1:65779..66582 or complement(NZ_AEYC01000050.1:11011..11862) or complement(NZ_AEYC01000089.1:24584..25372) or NZ_AEYC01000088.1:341279..342058,4.2.1.17,rn00930,
,R06944,Adipate + CoA + ATP = Adipyl-CoA + AMP + Diphosphate,C06104 + C00010 + C00002 <=> C14143 + C00020 + C00013,True,,6.2.1.-,rn00930,
,R06962,delta-Carotene = alpha-Carotene,C08586 <=> C05433,True,,5.5.1.19,rn00906,
,R06966,"2-Chloro-4-hydroxy-6-amino-1,3,5-triazine + H2O =2,4-Dihydroxy-6-amino-1,3,5-triazine + Hydrochloric acid",C08735 + C00001 <=> C08734 + C01327,True,,3.5.99.3,rn00791,
,R06970,Cyromazine + H2O = N-Cyclopropylammeline + NH3,C14147 + C00001 <=> C14148 + C00014,True,,3.5.4.-,rn00791,
,R06971,N-Cyclopropylammeline + H2O = N-Cyclopropylammelide + NH3,C14148 + C00001 <=> C14149 + C00014,True,,3.5.4.-,rn00791,
,R06972,N-Cyclopropylammelide + H2O = Cyanuric acid + Cyclopropylamine,C14149 + C00001 <=> C06554 + C14150,True,,3.5.4.-,rn00791,
,R06977,"L-Glutamate + L-Aspartate 4-semialdehyde = 2-Oxoglutarate +L-2,4-Diaminobutanoate",C00025 + C00441 <=> C00026 + C03283,True,complement(NZ_AEYC01000031.1:81538..82785),2.6.1.76        2.6.1.-,rn00260,
,R06978,"L-2,4-Diaminobutanoate + Acetyl-CoA =N-gamma-Acetyldiaminobutyrate + CoA",C03283 + C00024 <=> C06442 + C00010,True,,2.3.1.178,rn00260,
,R06979,N-gamma-Acetyldiaminobutyrate = H2O + Ectoine,C06442 <=> C00001 + C06231,True,,4.2.1.108,rn00260,
,R06989,"cis,cis-Muconate = (S)-5-Oxo-2,5-dihydrofuran-2-acetate",C02480 <=> C14610,True,,5.5.1.1,rn00362,4
,R06990,"(S)-5-Oxo-2,5-dihydrofuran-2-acetate =2-Oxo-2,3-dihydrofuran-5-acetate",C14610 <=> C03586,True,,5.3.3.4,rn00362,
,R07000,"Naphthalene + NADPH + Oxygen + H+ = (1R,2S)-Naphthalene 1,2-oxide+ NADP+ + H2O",C00829 + C00005 + C00007 + C00080 <=> C14786 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07001,"Naphthalene + NADPH + Oxygen + H+ = (1S,2R)-Naphthalene 1,2-oxide+ NADP+ + H2O",C00829 + C00005 + C00007 + C00080 <=> C14787 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07002,"(1R,2S)-Naphthalene 1,2-oxide + Glutathione =(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene",C14786 + C00051 <=> C14791,True,,2.5.1.18,rn00480,
,R07003,"(1S,2R)-Naphthalene 1,2-oxide + Glutathione =(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene",C14787 + C00051 <=> C14793,True,,2.5.1.18,rn00480,
,R07004,"(1S,2R)-Naphthalene 1,2-oxide + Glutathione =(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene",C14787 + C00051 <=> C14792,True,,2.5.1.18,rn00480,
,R07013,"(1R,2S)-Naphthalene 1,2-oxide + H2O =1,2-Dihydronaphthalene-1,2-diol",C14786 + C00001 <=> C06205,True,,3.3.2.9,rn00980,
,R07014,"(1S,2R)-Naphthalene 1,2-oxide + H2O =1,2-Dihydronaphthalene-1,2-diol",C14787 + C00001 <=> C06205,True,,3.3.2.9,rn00980,
,R07016,"1,2-Dihydronaphthalene-1,2-diol + NADPH + Oxygen + H+ =1,2-Dihydroxy-3,4-epoxy-1,2,3,4-tetrahydronaphthalene + NADP+ + H2O",C06205 + C00005 + C00007 + C00080 <=> C14784 + C00006 + C00001,False,,,rn00980,
,R07020,"beta-Naphthol + NADPH + Oxygen + H+ = Naphthalene-1,2-diol + NADP++ H2O",C11713 + C00005 + C00007 + C00080 <=> C03012 + C00006 + C00001,False,,,rn00980,
,R07021,"1-Nitronaphthalene + NADPH + Oxygen + H+ =1-Nitronaphthalene-7,8-oxide + NADP+ + H2O",C14040 + C00005 + C00007 + C00080 <=> C14802 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07022,"1-Nitronaphthalene + NADPH + Oxygen + H+ =1-Nitronaphthalene-5,6-oxide + NADP+ + H2O",C14040 + C00005 + C00007 + C00080 <=> C14800 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07023,"1-Nitronaphthalene-7,8-oxide + Glutathione =1-Nitro-7-hydroxy-8-glutathionyl-7,8-dihydronaphthalene",C14802 + C00051 <=> C14803,True,,2.5.1.18,rn00480,
,R07024,"1-Nitronaphthalene-7,8-oxide + Glutathione =1-Nitro-7-glutathionyl-8-hydroxy-7,8-dihydronaphthalene",C14802 + C00051 <=> C14804,True,,2.5.1.18,rn00480,
,R07025,"1-Nitronaphthalene-5,6-oxide + Glutathione =1-Nitro-5-hydroxy-6-glutathionyl-5,6-dihydronaphthalene",C14800 + C00051 <=> C14805,True,,2.5.1.18,rn00480,
,R07026,"1-Nitronaphthalene-5,6-oxide + Glutathione =1-Nitro-5-glutathionyl-6-hydroxy-5,6-dihydronaphthalene",C14800 + C00051 <=> C14806,True,,2.5.1.18,rn00480,
,R07027,"1-Nitronaphthalene-5,6-oxide + H2O =1-Nitro-5,6-dihydroxy-dihydronaphthalene",C14800 + C00001 <=> C14801,True,,3.3.2.9,rn00980,
,R07042,"15(S)-HPETE = 15H-11,12-EETA",C05966 <=> C14781,True,,1.14.14.1,rn00590,
,R07043,"15(S)-HPETE = 11H-14,15-EETA",C05966 <=> C14813,True,,1.14.14.1,rn00590,
,R07044,"15H-11,12-EETA + H2O = 11,12,15-THETA",C14781 + C00001 <=> C14782,True,,1.14.14.1,rn00590,
,R07045,"11H-14,15-EETA + H2O = 11,14,15-THETA",C14813 + C00001 <=> C14814,True,,1.14.14.1,rn00590,
,R07046,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ =19(S)-HETE + NADP+ + H2O",C00219 + C00007 + C00005 + C00080 <=> C14749 + C00006 + C00001,False,,1.14.14.1,rn00590,
,R07048,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ =14,15-EET + NADP+ + H2O",C00219 + C00007 + C00005 + C00080 <=> C14771 + C00006 + C00001,False,,1.14.14.1,rn00590,
,R07050,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ =11,12-EET + NADP+ + H2O",C00219 + C00007 + C00005 + C00080 <=> C14770 + C00006 + C00001,False,,1.14.14.1,rn00590,
,R07051,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ =8,9-EET + NADP+ + H2O",C00219 + C00007 + C00005 + C00080 <=> C14769 + C00006 + C00001,False,,1.14.14.1,rn00590,
,R07052,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ =5,6-EET + NADP+ + H2O",C00219 + C00007 + C00005 + C00080 <=> C14768 + C00006 + C00001,False,,1.14.14.1,rn00590,
,R07054,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid + Oxygen + NADPH + H+ =16(R)-HETE + NADP+ + H2O",C00219 + C00007 + C00005 + C00080 <=> C14778 + C00006 + C00001,False,,1.14.14.1,rn00590,
,R07055,Linoleate + Oxygen + NADPH + H+ = 9(10)-EpOME + NADP+ + H2O,C01595 + C00007 + C00005 + C00080 <=> C14825 + C00006 + C00001,False,,1.14.14.1,rn00591,
,R07056,Linoleate + Oxygen + NADPH + H+ = 12(13)-EpOME + NADP+ + H2O,C01595 + C00007 + C00005 + C00080 <=> C14826 + C00006 + C00001,False,,1.14.14.1,rn00591,
,R07058,13(S)-HODE + NAD+ = 13-OxoODE + NADH + H+,C14762 + C00003 <=> C14765 + C00004 + C00080,True,,,not exist,
,R07066,"Bromobenzene + NADPH + Oxygen + H+ = Bromobenzene-3,4-oxide +NADP+ + H2O",C11036 + C00005 + C00007 + C00080 <=> C14839 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07068,"Bromobenzene + NADPH + Oxygen + H+ = Bromobenzene-2,3-oxide +NADP+ + H2O",C11036 + C00005 + C00007 + C00080 <=> C14840 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07069,"Bromobenzene-3,4-oxide + Glutathione =3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene",C14839 + C00051 <=> C14847,True,,2.5.1.18,rn00480,
,R07070,"Bromobenzene-2,3-oxide + Glutathione =2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene",C14840 + C00051 <=> C14848,True,,2.5.1.18,rn00480,
,R07071,"Bromobenzene-3,4-oxide + H2O = Bromobenzene-3,4-dihydrodiol",C14839 + C00001 <=> C14844,True,,3.3.2.9,rn00980,
,R07072,"Bromobenzene-2,3-oxide + H2O = Bromobenzene-2,3-dihydrodiol",C14840 + C00001 <=> C14842,True,,3.3.2.9,rn00980,
,R07075,"4-Bromophenol + NADPH + Oxygen + H+ = 4-Bromophenol-2,3-epoxide +NADP+ + H2O",C14453 + C00005 + C00007 + C00080 <=> C14845 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07079,"Benzpyrene + NADPH + Oxygen + H+ = Benzo[a]pyrene-9,10-oxide +NADP+ + H2O",C07535 + C00005 + C00007 + C00080 <=> C14849 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07080,"Benzpyrene + NADPH + Oxygen + H+ = Benzo[a]pyrene-7,8-oxide +NADP+ + H2O",C07535 + C00005 + C00007 + C00080 <=> C14850 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07081,"Benzpyrene + NADPH + Oxygen + H+ = Benzo[a]pyrene-4,5-oxide +NADP+ + H2O",C07535 + C00005 + C00007 + C00080 <=> C14851 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07082,"Benzo[a]pyrene-7,8-oxide + H2O = Benzo[a]pyrene-7,8-diol",C14850 + C00001 <=> C14852,True,,3.3.2.9,rn00980,
,R07083,"Benzo[a]pyrene-4,5-oxide + Glutathione =4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene",C14851 + C00051 <=> C14855,True,,2.5.1.18,rn00480,
,R07084,"Benzo[a]pyrene-7,8-diol + Glutathione =7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene + H2O",C14852 + C00051 <=> C14856 + C00001,True,,2.5.1.18,rn00480,
,R07085,"Benzo[a]pyrene-7,8-diol + NADPH + Oxygen + H+ =Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide + NADP+ + H2O",C14852 + C00005 + C00007 + C00080 <=> C14853 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07087,"9-Hydroxybenzo[a]pyrene + NADPH + Oxygen + H+ =9-Hydroxybenzo[a]pyrene-4,5-oxide + NADP+ + H2O",C14556 + C00005 + C00007 + C00080 <=> C14854 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07088,"1,1-Dichloroethylene + NADPH + Oxygen + H+ =2,2-Dichloroacetaldehyde + NADP+ + H2O",C14039 + C00005 + C00007 + C00080 <=> C14858 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07089,"1,1-Dichloroethylene + NADPH + Oxygen + H+ = 1,1-Dichloroethyleneepoxide + NADP+ + H2O",C14039 + C00005 + C00007 + C00080 <=> C14857 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07090,"1,1-Dichloroethylene + NADPH + Oxygen + H+ = Chloroacetyl chloride+ NADP+ + H2O",C14039 + C00005 + C00007 + C00080 <=> C14859 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07091,"2,2-Dichloroacetaldehyde + Glutathione =S-(2,2-Dichloro-1-hydroxy)ethyl glutathione",C14858 + C00051 <=> C14861,True,,2.5.1.18,rn00480,
,R07092,"1,1-Dichloroethylene epoxide + Glutathione =2-(S-Glutathionyl)acetyl chloride + Hydrochloric acid",C14857 + C00051 <=> C14865 + C01327,True,,2.5.1.18,rn00480,
,R07093,Chloroacetyl chloride + Glutathione =S-(2-Chloroacetyl)glutathione + Hydrochloric acid,C14859 + C00051 <=> C14864 + C01327,True,,2.5.1.18,rn00480,
,R07094,2-(S-Glutathionyl)acetyl chloride + Glutathione =2-(S-Glutathionyl)acetyl glutathione + Hydrochloric acid,C14865 + C00051 <=> C14863 + C01327,True,,2.5.1.18,rn00480,
,R07098,Trichloroethene + NADPH + Oxygen + H+ = TCE epoxide + NADP+ + H2O,C06790 + C00005 + C00007 + C00080 <=> C11148 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07099,Trichloroethene + NADPH + Oxygen + H+ = Chloral + NADP+ + H2O,C06790 + C00005 + C00007 + C00080 <=> C14866 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07100,"Trichloroethene + Glutathione = S-(1,2-Dichlorovinyl)glutathione +Hydrochloric acid",C06790 + C00051 <=> C14868 + C01327,True,,2.5.1.18,rn00480,0.00098
,R07105,Chloral hydrate + NADH + H+ = Trichloroethanol + NAD+ + H2O,C06899 + C00004 + C00080 <=> C07490 + C00003 + C00001,True,,1.1.1.1,rn00980 ,0.36
,R07107,Trichloroethanol + NADPH + Oxygen + H+ = Trichloroacetate + NADP++ H2O,C07490 + C00005 + C00007 + C00080 <=> C11150 + C00006 + C00001,False,,1.14.14.1,rn00980,0.43
,R07112,"1,2-Dibromoethane + NADPH + Oxygen + H+ = 2-Bromoacetaldehyde +NADP+ + H2O + Hydrobromic acid",C11088 + C00005 + C00007 + C00080 <=> C14870 + C00006 + C00001 +C13645,False,,1.14.14.1,rn00980,0.43
,R07113,"1,2-Dibromoethane + Glutathione = Glutathione episulfonium ion + 2Hydrobromic acid",C11088 + C00051 <=> C14874 + 2 C13645,True,,2.5.1.18,rn00480,0.00098
,R07116,2-Bromoacetaldehyde + Glutathione = S-(Formylmethyl)glutathione +Hydrobromic acid,C14870 + C00051 <=> C14871 + C13645,True,,2.5.1.18,rn00480,0.00098
,R07168,"5,10-Methylenetetrahydrofolate +NADH + H+ = 5-Methyltetrahydrofolate + NAD+",C00143 + C00004 + C00080 <=> C00440 + C00003,False,,1.5.1.20,rn00670  rn00680  rn00720,
,R07188,"Benzoate + NADH + H+ + Oxygen =1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+",C00180 + C00004 + C00080 + C00007 <=> C04634 + C00003,False,,1.14.12.10,not exist,4.4
,R07191,"2,3,5,6-Tetrachlorophenol + NADPH + H+ + Oxygen =Tetrachlorohydroquinone + NADP+ + H2O",C15505 + C00005 + C00080 + C00007 <=> C03434 + C00006 + C00001,False,,1.14.13.50,not exist,0.32
,R07219,1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + NADPH + H+ = Dimethylallyl diphosphate + NADP+ + H2O,C11811 + C00005 + C00080 <=> C00235 + C00006 + C00001,False,ispH,1.17.1.2,rn00900,
,R07263,"2-Succinylbenzoyl-CoA = 1,4-Dihydroxy-2-naphthoyl-CoA + H2O",C03160 <=> C15547 + C00001,True,,4.1.3.36,rn00130,0.00022
,R07268,ATP + Cobinamide = Triphosphate + Adenosyl cobinamide,C00002 + C05774 <=> C00536 + C06508,True,NZ_AEYC01000002.1:5979..6593,2.5.1.17,rn00860,-999
,R07270,Prephytoene diphosphate = Phytoene + Diphosphate,C03427 <=> C05413 + C00013,True,,2.5.1.32,not exist,
,R07281,"D-Ribulose 5-phosphate = 3,4-Dihydroxy-2-butanone 4-phosphate +Formate",C00199 <=> C15556 + C00058,True,NZ_AEYC01000088.1:111629..112768,4.1.99.12,rn00740,
,R07290,Formyl-CoA + Oxalate = Formate + Oxalyl-CoA,C00798 + C00209 <=> C00058 + C00313,True,,2.8.3.16,not exist,4.3
,R07302,ATP + Adenosyl cobyrinate hexaamide + (R)-1-Aminopropan-2-ol = ADP+ Orthophosphate + Adenosyl cobinamide,C00002 + C06507 + C03194 <=> C00008 + C00009 + C06508,True,,6.3.1.10,rn00860,
,R07322,Squalene = Diploptene,C00751 <=> C06310,True,,5.4.99.17,not exist,0.15
,R07323,Squalene + H2O = Diplopterol,C00751 + C00001 <=> C06309,True,,4.2.1.129,not exist,0.15
,R07324,D-Glucose 6-phosphate = 1D-myo-Inositol 3-phosphate,C00092 <=> C04006,True,,5.5.1.4,rn00521  rn00562,0.0817
,R07343,myo-Inositol phosphate + H2O = myo-Inositol + Orthophosphate,C15585 + C00001 <=> C00137 + C00009,True,,3.1.3.25,not exist,
,R07353,"6-(2-Amino-2-carboxyethyl)-7,8-dioxo-1,2,3,4,7,8-hexahydroquinoline-2,4-dicarboxylate + 3 Oxygen = PQQ + 2 H2O2 + 2 H2O",C15599 + 3 C00007 <=> C00113 + 2 C00027 + 2 C00001,False,,1.3.3.11,not exist,
,R07363,"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one + Oxygen =3-(Methylthio)propionic acid + Formate + CO",C15606 + C00007 <=> C08276 + C00058 + C00237,False,,1.13.11.53,rn00270,
,R07364,"1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one + Oxygen =4-Methylthio-2-oxobutanoic acid + Formate",C15606 + C00007 <=> C01180 + C00058,False,,1.13.11.54,rn00270,
,R07392,"S-Methyl-5-thio-D-ribulose 1-phosphate =2,3-Diketo-5-methylthiopentyl-1-phosphate + H2O",C04582 <=> C15650 + C00001,True,,4.2.1.109,rn00270,
,R07395,"2,3-Diketo-5-methylthiopentyl-1-phosphate + H2O =1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one + Orthophosphate",C15650 + C00001 <=> C15606 + C00009,True,,3.1.3.77,rn00270,
,R07400,Cephalosporin C + H2O + Oxygen =(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate + NH3 + H2O2,C00916 + C00001 + C00007 <=> C04712 + C00014 + C00027,False,,1.4.3.3,rn00311,1.3
,R07411,Heme = Heme O,C00032 <=> C15672,True,,2.5.1.-,rn00860,
,R07412,Heme O = Heme A,C15672 <=> C15670,True,,,rn00860,
,R07416,ATP + N-Methylanthranilate + CoA = AMP + Diphosphate +N-Methylanthraniloyl-CoA,C00002 + C03005 + C00010 <=> C00020 + C00013 + C12092,True,,6.2.1.32,rn01058,
,R07456,D-Glyceraldehyde 3-phosphate + D-Ribulose 5-phosphate + L-Glutamine= Pyridoxal phosphate + L-Glutamate,C00118 + C00199 + C00064 <=> C00018 + C00025,True,,,rn00750,
,R07463,Glycine = Iminoglycine,C00037 <=> C15809,True,,1.4.3.19,rn00730,0.007
,R07465,C15815 + L-Tyrosine + Iminoglycine =4-Methyl-5-(2-phosphoethyl)-thiazole,C15815 + C00082 + C15809 <=> C04327,True,,,rn00730,
,R07541,gamma-Carotene = Chlorobactene,C05435 <=> C15908,True,,,rn00906,
,R07560,beta-Carotene = Isorenieratene,C02094 <=> C15943,False,,,not exist,
,R07627,"cis-Stilbene oxide + H2O = (+)-(1R,2R)-1,2-Diphenylethane-1,2-diol",C16014 + C00001 <=> C16015,True,,3.3.2.9,not exist,
,R07641,2 ATP + HCO3- + NH3 = 2 ADP + Orthophosphate + Carbamoyl phosphate,2 C00002 + C00288 + C00014 <=> 2 C00008 + C00009 + C00169,True,,6.3.5.5,not exist,0.006
,R07663,2 Toluene-4-sulfonate + Oxygen + 2 H+ = 2 4-Cresol + 2 HSO3-,2 C06677 + C00007 + 2 C00080 <=> 2 C01468 + 2 C11481,False,,1.14.13.-,rn00623,
,R07665,3-Cresol + Oxygen + NADH + H+ = 3-Hydroxybenzyl alcohol + NAD+ +H2O,C01467 + C00007 + C00004 + C00080 <=> C03351 + C00003 + C00001,False,,1.14.13.-,rn00623,
,R07667,3-Hydroxybenzaldehyde + NAD+ + H2O = 3-Hydroxybenzoate + NADH + H+,C03067 + C00003 + C00001 <=> C00587 + C00004 + C00080,True,,1.2.1.28        1.2.1.64,rn00623,
,R07669,"beta-1,2,3,4,5,6-Hexachlorocyclohexane + H2O =beta-2,3,4,5,6-Pentachlorocyclohexanol + Hydrochloric acid",C06988 + C00001 <=> C16181 + C01327,True,,3.8.1.5,rn00361,
,R07670,"beta-2,3,4,5,6-Pentachlorocyclohexanol + H2O =beta-2,3,5,6-Tetrachloro-1,4-cyclohexanediol + Hydrochloric acid",C16181 + C00001 <=> C16182 + C01327,True,,3.8.1.5,rn00361,
,R07675,"L-Galactose + NAD+ = L-Galactono-1,4-lactone + NADH + H+",C01825 + C00003 <=> C01115 + C00004 + C00080,True,,1.1.1.122       1.1.1.316,rn00053,
,R07687,"Anthracene + Oxygen + 2 H+ + 2 e- = Anthracene-9,10-dihydrodiol",C14315 + C00007 + 2 C00080 + 2 C05359 <=> C16205,False,,1.14.-.-,rn00624,
,R07697,Phenylboronic acid + Oxygen = Phenol + H2O,C16200 + C00007 <=> C00146 + C00001,False,,1.14.-.-,rn00627,
,R07700,Aniline + Oxygen = Catechol + NH3,C00292 + C00007 <=> C00090 + C00014,False,,1.14.-.-,rn00627,
,R07706,Nitrobenzene + Oxygen = Catechol + Nitrite,C06813 + C00007 <=> C00090 + C00088,False,,1.14.-.-,rn00627,
,R07709,"Salicylate + NADH + Oxygen + H+ = 2,5-Dihydroxybenzoate + NAD+ +H2O",C00805 + C00004 + C00007 + C00080 <=> C00628 + C00003 + C00001,False,,1.14.13.-,rn00626,
,R07710,"Salicylate + NADPH + Oxygen + H+ = 2,5-Dihydroxybenzoate + NADP+ +H2O",C00805 + C00005 + C00007 + C00080 <=> C00628 + C00006 + C00001,False,,1.14.13.-,rn00626,
,R07759,3-Oxostearoyl-CoA + NADPH + H+ = 3-Hydroxyoctadecanoyl-CoA + NADP+,C16216 + C00005 + C00080 <=> C16217 + C00006,True,,1.1.1.-,rn01040,
,R07770,ATP + Lipoate = Diphosphate + Lipoyl-AMP,C00002 + C00725 <=> C00013 + C16238,True,,2.7.7.63,rn00785,
,R07773,Cobalt-precorrin 5B + S-Adenosyl-L-methionine = Cobalt-precorrin 6+ S-Adenosyl-L-homocysteine,C16243 + C00019 <=> C11542 + C00021,True,,2.1.1.195,rn00860,
,R07779,"3,5-Dibromo-4-hydroxybenzonitrile + 2 NADPH + 2 H+ + Oxygen =2,6-Dibromohydroquinone + 2 NADP+ + Hydrogen cyanide + H2O",C04178 + 2 C00005 + 2 C00080 + C00007 <=> C16248 + 2 C00006 + C01326 + C00001,False,,1.14.13.50,rn00364,
,R07828,Cyclopropanecarboxylate + CoA + ATP = Cyclopropanecarboxyl-CoA +ADP + Orthophosphate,C16267 + C00010 + C00002 <=> C16268 + C00008 + C00009,True,,6.2.1.-,rn00627,
,R07833,3-Hydroxy-5-oxohexanoyl-CoA + CoA = (S)-3-Hydroxybutanoyl-CoA +Acetyl-CoA,C16273 + C00010 <=> C01144 + C00024,True,,2.3.1.-,rn00627,
,R07839,"(E)-4-Oxobut-1-ene-1,2,4-tricarboxylate =4-Carboxy-2-hydroxyhexa-2,4-dienedioate",C04434 <=> C04451,True,,5.3.3.10,rn00362,
